Tweet_ID,Username,Date,Text,Likes,Retweets,Sentiment
616035,user1130,12/19/2024 12:23,Wow! Blown away by how great this is.,363,134,Positive
113636,user9247,12/19/2024 21:55,"Just bought it, will update my thoughts later.",356,274,Positive
239979,user8908,12/15/2024 5:18,"Meh. It's okay, nothing special.",434,236,Negative
566335,user5452,12/17/2024 2:25,Why is no one talking about this? It's amazing.,341,165,Positive
806621,user6270,12/14/2024 15:55,"Not a fan of this, had a bad experience.",432,217,Negative
777867,user2551,12/19/2024 14:29,"Not a fan of this, had a bad experience.",159,6,Negative
471086,user3292,12/15/2024 18:40,"Just bought it, will update my thoughts later.",156,33,Positive
255405,user6888,12/16/2024 21:22,"Just bought it, will update my thoughts later.",74,217,Neutral
236607,user7356,12/19/2024 13:25,Why is no one talking about this? It's amazing.,16,62,Neutral
941826,user7331,12/19/2024 3:24,This event was fantastic!,426,164,Neutral
434125,user6294,12/21/2024 8:31,"Disappointed, expected so much more.",488,79,Neutral
332159,user2812,12/14/2024 21:45,Absolutely terrible. Would not suggest to anyone.,368,90,Negative
766412,user3349,12/18/2024 17:51,Wow! Blown away by how great this is.,247,124,Neutral
950870,user9962,12/20/2024 16:10,"Not a fan of this, had a bad experience.",467,283,Neutral
450531,user8948,12/20/2024 18:07,"Disappointed, expected so much more.",114,179,Neutral
929590,user4919,12/17/2024 18:45,This event was fantastic!,98,5,Neutral
657687,user9136,12/20/2024 4:54,"Disappointed, expected so much more.",202,286,Positive
579705,user8280,12/21/2024 2:44,"Just bought it, will update my thoughts later.",468,52,Negative
346088,user161,12/19/2024 21:08,"Could be better, but not too bad.",463,225,Neutral
259575,user6324,12/18/2024 20:22,I love this product! Highly recommend it.,5,114,Negative
941762,user5830,12/17/2024 17:57,Wow! Blown away by how great this is.,467,179,Neutral
358439,user202,12/16/2024 6:26,"Just bought it, will update my thoughts later.",227,91,Neutral
991082,user4354,12/17/2024 3:23,Wow! Blown away by how great this is.,146,66,Negative
599002,user556,12/15/2024 10:31,"Could be better, but not too bad.",151,262,Positive
830334,user1837,12/18/2024 5:37,Absolutely terrible. Would not suggest to anyone.,371,93,Neutral
548201,user5649,12/16/2024 20:26,Wow! Blown away by how great this is.,87,177,Neutral
337688,user6944,12/16/2024 23:11,"Could be better, but not too bad.",181,34,Neutral
210517,user2906,12/19/2024 19:06,"Meh. It's okay, nothing special.",23,32,Neutral
461269,user4836,12/16/2024 10:20,Why is no one talking about this? It's amazing.,8,247,Neutral
236526,user8107,12/16/2024 11:07,"Could be better, but not too bad.",130,214,Negative
862854,user625,12/20/2024 8:14,This event was fantastic!,380,35,Negative
785559,user1434,12/16/2024 0:16,"Disappointed, expected so much more.",478,225,Negative
431865,user9985,12/20/2024 18:43,This event was fantastic!,23,84,Positive
242394,user7300,12/14/2024 16:18,Absolutely terrible. Would not suggest to anyone.,6,194,Positive
482438,user3252,12/18/2024 21:55,"Could be better, but not too bad.",44,147,Negative
303705,user7045,12/17/2024 3:06,This event was fantastic!,230,137,Neutral
139218,user9291,12/21/2024 8:11,This event was fantastic!,90,86,Neutral
578368,user5475,12/16/2024 14:43,"Not a fan of this, had a bad experience.",439,44,Negative
336489,user798,12/19/2024 13:14,This event was fantastic!,69,220,Negative
503624,user4752,12/19/2024 3:09,"Not a fan of this, had a bad experience.",198,73,Positive
962977,user2105,12/20/2024 17:53,"Meh. It's okay, nothing special.",451,28,Positive
470055,user5299,12/15/2024 6:33,"Just bought it, will update my thoughts later.",270,267,Positive
706266,user2760,12/17/2024 17:51,I love this product! Highly recommend it.,411,2,Positive
931290,user8353,12/16/2024 10:54,"Not a fan of this, had a bad experience.",388,292,Neutral
587154,user8022,12/19/2024 15:03,"Could be better, but not too bad.",362,250,Positive
788725,user8430,12/15/2024 20:42,"Just bought it, will update my thoughts later.",258,169,Neutral
990081,user2933,12/17/2024 9:24,"Not a fan of this, had a bad experience.",490,227,Negative
283091,user6484,12/14/2024 19:21,"Not a fan of this, had a bad experience.",354,106,Negative
514639,user5209,12/20/2024 21:28,"Disappointed, expected so much more.",93,12,Negative
590423,user9594,12/20/2024 11:44,"Not a fan of this, had a bad experience.",178,265,Neutral
328214,user5412,12/17/2024 8:44,I love this product! Highly recommend it.,193,161,Positive
168814,user9169,12/20/2024 0:35,"Not a fan of this, had a bad experience.",283,119,Positive
989769,user6636,12/18/2024 21:15,I love this product! Highly recommend it.,310,205,Negative
298857,user7560,12/16/2024 18:33,"Meh. It's okay, nothing special.",393,251,Neutral
339768,user1796,12/15/2024 19:03,Wow! Blown away by how great this is.,432,27,Neutral
563891,user2719,12/20/2024 20:15,Wow! Blown away by how great this is.,285,92,Neutral
812835,user3008,12/14/2024 19:06,"Meh. It's okay, nothing special.",196,52,Positive
901853,user6987,12/17/2024 14:51,"Could be better, but not too bad.",454,262,Neutral
342585,user3876,12/19/2024 6:39,This event was fantastic!,497,211,Negative
621522,user547,12/15/2024 0:18,Wow! Blown away by how great this is.,201,93,Negative
306756,user1344,12/21/2024 6:19,"Just bought it, will update my thoughts later.",129,163,Positive
830193,user5804,12/18/2024 12:14,"Just bought it, will update my thoughts later.",61,20,Neutral
549150,user4932,12/19/2024 2:56,This event was fantastic!,111,278,Negative
105721,user5765,12/17/2024 12:45,"Not a fan of this, had a bad experience.",384,53,Positive
958509,user9649,12/16/2024 2:24,Wow! Blown away by how great this is.,171,95,Negative
842114,user5299,12/18/2024 13:09,I love this product! Highly recommend it.,264,141,Neutral
174802,user6037,12/18/2024 16:19,Absolutely terrible. Would not suggest to anyone.,57,80,Negative
496146,user2654,12/14/2024 16:43,"Meh. It's okay, nothing special.",476,72,Positive
523050,user6613,12/18/2024 19:33,I love this product! Highly recommend it.,142,92,Negative
381210,user6933,12/20/2024 23:40,I love this product! Highly recommend it.,489,121,Neutral
239487,user712,12/18/2024 12:22,This event was fantastic!,457,41,Neutral
442981,user3590,12/15/2024 22:30,Why is no one talking about this? It's amazing.,320,92,Neutral
474104,user4209,12/19/2024 6:04,"Just bought it, will update my thoughts later.",418,82,Negative
326556,user5814,12/17/2024 22:00,"Disappointed, expected so much more.",468,9,Neutral
770034,user1670,12/21/2024 3:21,"Disappointed, expected so much more.",159,264,Positive
502877,user1302,12/18/2024 20:07,"Could be better, but not too bad.",72,199,Positive
707075,user5665,12/14/2024 22:56,"Could be better, but not too bad.",465,153,Negative
284236,user7822,12/19/2024 20:09,I love this product! Highly recommend it.,2,91,Positive
421858,user4800,12/14/2024 18:44,Absolutely terrible. Would not suggest to anyone.,10,41,Negative
140909,user5910,12/15/2024 20:28,"Meh. It's okay, nothing special.",492,30,Neutral
952612,user5358,12/16/2024 4:53,"Just bought it, will update my thoughts later.",481,208,Negative
897864,user8725,12/19/2024 18:10,Absolutely terrible. Would not suggest to anyone.,422,2,Negative
548040,user8602,12/18/2024 10:06,Wow! Blown away by how great this is.,481,118,Negative
140460,user4794,12/14/2024 18:27,Why is no one talking about this? It's amazing.,484,201,Neutral
307741,user6699,12/18/2024 13:04,I love this product! Highly recommend it.,63,64,Neutral
770469,user3291,12/18/2024 23:38,"Disappointed, expected so much more.",222,142,Positive
601729,user8978,12/17/2024 23:08,"Disappointed, expected so much more.",27,280,Positive
472346,user6291,12/19/2024 4:11,"Not a fan of this, had a bad experience.",252,137,Negative
804785,user3738,12/20/2024 2:54,Wow! Blown away by how great this is.,478,275,Neutral
614589,user9063,12/19/2024 10:07,"Meh. It's okay, nothing special.",133,87,Negative
765686,user1975,12/15/2024 10:19,Absolutely terrible. Would not suggest to anyone.,488,97,Positive
702362,user834,12/21/2024 7:10,Wow! Blown away by how great this is.,204,58,Negative
141668,user7696,12/16/2024 0:57,"Meh. It's okay, nothing special.",147,118,Neutral
650665,user4583,12/18/2024 1:19,Wow! Blown away by how great this is.,323,273,Neutral
216096,user228,12/14/2024 18:52,"Just bought it, will update my thoughts later.",173,225,Positive
444536,user2141,12/20/2024 0:27,"Just bought it, will update my thoughts later.",60,145,Negative
450746,user6967,12/19/2024 7:39,I love this product! Highly recommend it.,131,260,Positive
521351,user4740,12/20/2024 21:12,This event was fantastic!,404,148,Positive
209962,user8702,12/17/2024 18:32,Wow! Blown away by how great this is.,47,220,Negative
588736,user2299,12/19/2024 14:44,"Just bought it, will update my thoughts later.",318,213,Neutral
666105,user4294,12/18/2024 18:26,Wow! Blown away by how great this is.,324,158,Positive
969766,user9222,12/17/2024 12:33,Absolutely terrible. Would not suggest to anyone.,198,186,Negative
696357,user4313,12/18/2024 14:20,I love this product! Highly recommend it.,465,110,Neutral
269366,user1153,12/18/2024 9:05,Absolutely terrible. Would not suggest to anyone.,361,7,Negative
109526,user2452,12/18/2024 21:29,"Just bought it, will update my thoughts later.",238,34,Neutral
714981,user32,12/17/2024 17:12,Wow! Blown away by how great this is.,187,168,Positive
211647,user7454,12/17/2024 7:46,"Not a fan of this, had a bad experience.",364,25,Neutral
639502,user4902,12/18/2024 15:26,Absolutely terrible. Would not suggest to anyone.,313,218,Negative
811899,user5628,12/19/2024 17:49,"Disappointed, expected so much more.",134,210,Neutral
965643,user7390,12/15/2024 16:37,"Just bought it, will update my thoughts later.",220,112,Negative
371434,user2127,12/20/2024 16:12,Why is no one talking about this? It's amazing.,431,158,Positive
638800,user3639,12/14/2024 16:46,"Just bought it, will update my thoughts later.",22,32,Positive
746652,user4008,12/15/2024 16:29,"Could be better, but not too bad.",223,13,Neutral
264173,user3886,12/15/2024 13:05,"Disappointed, expected so much more.",149,113,Positive
970003,user6145,12/15/2024 9:46,"Just bought it, will update my thoughts later.",181,227,Negative
803034,user2358,12/14/2024 22:08,This event was fantastic!,343,1,Positive
473948,user4863,12/16/2024 15:48,I love this product! Highly recommend it.,455,292,Neutral
533282,user2425,12/20/2024 21:47,I love this product! Highly recommend it.,151,35,Positive
814320,user2493,12/17/2024 11:31,Why is no one talking about this? It's amazing.,387,194,Negative
772643,user6690,12/18/2024 21:13,Why is no one talking about this? It's amazing.,40,47,Positive
720128,user7053,12/20/2024 18:31,"Disappointed, expected so much more.",91,202,Negative
354628,user7823,12/15/2024 16:43,Wow! Blown away by how great this is.,198,110,Negative
689729,user1441,12/21/2024 7:57,Why is no one talking about this? It's amazing.,257,272,Positive
194433,user1296,12/18/2024 9:42,"Disappointed, expected so much more.",387,231,Positive
840719,user5014,12/20/2024 4:47,This event was fantastic!,263,298,Neutral
859153,user5334,12/18/2024 15:29,"Disappointed, expected so much more.",150,54,Neutral
532914,user5145,12/20/2024 14:44,"Disappointed, expected so much more.",181,12,Positive
847305,user1243,12/17/2024 16:40,This event was fantastic!,131,3,Negative
796882,user7146,12/19/2024 13:17,This event was fantastic!,23,192,Positive
396783,user8464,12/15/2024 7:27,"Disappointed, expected so much more.",86,260,Positive
390478,user7325,12/17/2024 5:34,Absolutely terrible. Would not suggest to anyone.,81,90,Neutral
112119,user9194,12/20/2024 14:43,Absolutely terrible. Would not suggest to anyone.,279,236,Negative
140042,user9490,12/19/2024 4:35,"Meh. It's okay, nothing special.",3,203,Negative
197460,user4124,12/16/2024 17:48,"Just bought it, will update my thoughts later.",427,181,Neutral
864415,user121,12/20/2024 16:02,"Not a fan of this, had a bad experience.",208,119,Negative
399689,user2058,12/20/2024 4:46,Absolutely terrible. Would not suggest to anyone.,439,258,Neutral
376800,user1099,12/20/2024 9:36,"Not a fan of this, had a bad experience.",85,239,Neutral
962422,user7003,12/21/2024 1:33,This event was fantastic!,162,46,Positive
667706,user3476,12/21/2024 0:49,"Meh. It's okay, nothing special.",349,161,Neutral
928729,user7458,12/20/2024 17:35,"Disappointed, expected so much more.",432,132,Positive
307313,user2533,12/17/2024 6:01,"Meh. It's okay, nothing special.",373,157,Negative
332694,user7285,12/18/2024 3:53,"Not a fan of this, had a bad experience.",256,69,Negative
284602,user9834,12/19/2024 6:08,"Not a fan of this, had a bad experience.",223,0,Positive
193872,user8425,12/21/2024 0:56,This event was fantastic!,207,24,Positive
507597,user8168,12/15/2024 9:55,Wow! Blown away by how great this is.,265,166,Negative
306846,user5994,12/19/2024 1:21,I love this product! Highly recommend it.,92,225,Positive
937152,user4444,12/16/2024 3:31,Why is no one talking about this? It's amazing.,187,108,Positive
190681,user9806,12/20/2024 17:19,Absolutely terrible. Would not suggest to anyone.,146,189,Neutral
734646,user3265,12/17/2024 0:04,"Just bought it, will update my thoughts later.",142,16,Negative
643341,user501,12/15/2024 17:22,Why is no one talking about this? It's amazing.,493,154,Neutral
792060,user5068,12/21/2024 0:32,Wow! Blown away by how great this is.,462,5,Positive
126451,user4270,12/19/2024 8:36,"Just bought it, will update my thoughts later.",385,146,Positive
563339,user4420,12/16/2024 15:44,"Not a fan of this, had a bad experience.",500,87,Neutral
880521,user5242,12/18/2024 6:09,This event was fantastic!,475,127,Neutral
918906,user639,12/16/2024 21:14,"Could be better, but not too bad.",221,130,Negative
589161,user4520,12/20/2024 22:16,"Could be better, but not too bad.",345,107,Neutral
378462,user9949,12/19/2024 5:44,Wow! Blown away by how great this is.,275,294,Neutral
395712,user4819,12/19/2024 6:04,"Not a fan of this, had a bad experience.",336,233,Positive
250367,user2827,12/15/2024 16:11,"Disappointed, expected so much more.",294,221,Positive
951020,user431,12/16/2024 17:17,"Could be better, but not too bad.",109,263,Positive
853087,user3645,12/19/2024 12:27,This event was fantastic!,74,6,Negative
738740,user2534,12/14/2024 21:21,Absolutely terrible. Would not suggest to anyone.,318,26,Neutral
463910,user1859,12/18/2024 4:03,"Just bought it, will update my thoughts later.",327,156,Positive
126172,user1083,12/21/2024 6:01,Why is no one talking about this? It's amazing.,362,121,Negative
328378,user3715,12/17/2024 13:49,Why is no one talking about this? It's amazing.,70,63,Positive
397191,user2902,12/17/2024 16:43,"Disappointed, expected so much more.",86,51,Neutral
932338,user2112,12/16/2024 6:36,"Disappointed, expected so much more.",453,128,Negative
790607,user2434,12/21/2024 6:43,"Meh. It's okay, nothing special.",433,134,Positive
176152,user4245,12/15/2024 21:08,Absolutely terrible. Would not suggest to anyone.,135,42,Positive
631213,user4617,12/17/2024 19:19,"Disappointed, expected so much more.",427,237,Neutral
473520,user4073,12/17/2024 3:25,I love this product! Highly recommend it.,92,227,Negative
472295,user1143,12/16/2024 3:03,Absolutely terrible. Would not suggest to anyone.,247,207,Neutral
866846,user6611,12/18/2024 19:11,"Disappointed, expected so much more.",220,263,Neutral
243784,user9978,12/18/2024 2:22,Wow! Blown away by how great this is.,45,1,Positive
198346,user8720,12/16/2024 11:02,I love this product! Highly recommend it.,23,106,Negative
209733,user4463,12/19/2024 19:03,Absolutely terrible. Would not suggest to anyone.,203,218,Positive
255942,user814,12/15/2024 14:42,Absolutely terrible. Would not suggest to anyone.,260,121,Negative
960888,user8099,12/16/2024 13:17,Why is no one talking about this? It's amazing.,18,1,Neutral
282715,user6969,12/21/2024 1:36,"Disappointed, expected so much more.",335,27,Neutral
579805,user5171,12/20/2024 20:10,Wow! Blown away by how great this is.,445,165,Negative
241964,user7562,12/19/2024 5:16,"Disappointed, expected so much more.",175,283,Negative
227247,user4465,12/21/2024 3:12,Why is no one talking about this? It's amazing.,248,221,Positive
106660,user7426,12/20/2024 5:51,Why is no one talking about this? It's amazing.,475,4,Neutral
751836,user7733,12/16/2024 9:51,"Not a fan of this, had a bad experience.",368,136,Negative
537354,user7107,12/19/2024 13:14,Why is no one talking about this? It's amazing.,499,282,Neutral
278296,user338,12/17/2024 8:13,"Not a fan of this, had a bad experience.",262,81,Positive
642803,user4834,12/20/2024 5:50,This event was fantastic!,257,30,Negative
682235,user4767,12/18/2024 7:16,Why is no one talking about this? It's amazing.,456,52,Negative
778355,user2446,12/18/2024 8:45,This event was fantastic!,102,122,Positive
395191,user1984,12/18/2024 10:52,"Disappointed, expected so much more.",246,171,Negative
491387,user4041,12/15/2024 23:14,"Could be better, but not too bad.",157,61,Neutral
477078,user6388,12/15/2024 23:47,"Just bought it, will update my thoughts later.",124,287,Positive
860860,user9804,12/17/2024 22:47,Why is no one talking about this? It's amazing.,339,86,Negative
381552,user5811,12/16/2024 6:34,"Disappointed, expected so much more.",441,268,Positive
542526,user6035,12/16/2024 3:30,This event was fantastic!,50,180,Neutral
296321,user2314,12/18/2024 8:37,Why is no one talking about this? It's amazing.,112,299,Positive
861735,user5721,12/20/2024 17:54,I love this product! Highly recommend it.,357,22,Positive
684285,user6532,12/20/2024 15:00,I love this product! Highly recommend it.,284,217,Positive
332730,user4107,12/15/2024 23:32,Absolutely terrible. Would not suggest to anyone.,77,138,Neutral
394644,user9088,12/18/2024 2:32,This event was fantastic!,151,81,Negative
435291,user4376,12/18/2024 23:43,"Could be better, but not too bad.",3,62,Positive
216977,user9732,12/21/2024 3:03,"Disappointed, expected so much more.",4,82,Positive
864320,user9754,12/19/2024 15:21,"Not a fan of this, had a bad experience.",376,94,Negative
836534,user9341,12/20/2024 7:08,"Disappointed, expected so much more.",96,227,Negative
414025,user1479,12/17/2024 0:27,"Not a fan of this, had a bad experience.",492,115,Negative
219512,user4989,12/15/2024 23:11,"Could be better, but not too bad.",137,242,Negative
670161,user5483,12/17/2024 11:30,I love this product! Highly recommend it.,53,77,Negative
480040,user7189,12/14/2024 17:21,Absolutely terrible. Would not suggest to anyone.,322,123,Neutral
662350,user1543,12/15/2024 2:44,"Just bought it, will update my thoughts later.",292,110,Neutral
245761,user9245,12/16/2024 23:48,This event was fantastic!,355,52,Negative
711217,user5152,12/16/2024 6:37,"Not a fan of this, had a bad experience.",30,155,Negative
407237,user4244,12/15/2024 18:51,I love this product! Highly recommend it.,240,60,Negative
354588,user6262,12/19/2024 9:01,"Disappointed, expected so much more.",400,240,Negative
337765,user4050,12/19/2024 21:37,"Could be better, but not too bad.",101,40,Neutral
211946,user9598,12/20/2024 0:44,"Meh. It's okay, nothing special.",164,103,Neutral
951258,user2883,12/18/2024 2:35,This event was fantastic!,466,166,Negative
910641,user6490,12/16/2024 23:07,I love this product! Highly recommend it.,14,202,Positive
213598,user4459,12/14/2024 19:06,"Not a fan of this, had a bad experience.",481,128,Negative
338740,user5866,12/20/2024 8:32,"Meh. It's okay, nothing special.",357,228,Negative
879347,user8519,12/14/2024 17:53,Absolutely terrible. Would not suggest to anyone.,380,29,Neutral
484592,user8041,12/21/2024 7:13,"Just bought it, will update my thoughts later.",386,115,Negative
661021,user9404,12/16/2024 10:55,"Disappointed, expected so much more.",422,133,Positive
272230,user8321,12/14/2024 18:02,I love this product! Highly recommend it.,9,53,Positive
253745,user416,12/17/2024 18:49,This event was fantastic!,218,23,Neutral
661402,user1242,12/17/2024 4:29,"Could be better, but not too bad.",101,107,Negative
793491,user1795,12/18/2024 18:10,"Could be better, but not too bad.",330,23,Negative
813764,user9325,12/17/2024 8:42,"Meh. It's okay, nothing special.",239,269,Negative
177773,user2269,12/18/2024 4:38,"Just bought it, will update my thoughts later.",173,18,Negative
382873,user629,12/15/2024 5:18,This event was fantastic!,432,247,Negative
470341,user700,12/21/2024 4:59,"Meh. It's okay, nothing special.",448,192,Neutral
982076,user4290,12/20/2024 6:57,"Just bought it, will update my thoughts later.",483,53,Negative
503570,user7024,12/16/2024 4:09,"Disappointed, expected so much more.",184,4,Neutral
478799,user8774,12/19/2024 13:39,Absolutely terrible. Would not suggest to anyone.,259,176,Neutral
890759,user1916,12/17/2024 4:46,"Meh. It's okay, nothing special.",480,1,Neutral
967131,user4880,12/15/2024 9:51,Absolutely terrible. Would not suggest to anyone.,385,98,Negative
147665,user1357,12/16/2024 8:32,"Just bought it, will update my thoughts later.",72,119,Positive
411945,user2679,12/16/2024 15:14,This event was fantastic!,427,3,Positive
784122,user9903,12/15/2024 2:40,I love this product! Highly recommend it.,183,102,Positive
261760,user5267,12/18/2024 13:42,"Meh. It's okay, nothing special.",367,56,Neutral
669351,user4,12/19/2024 6:00,"Not a fan of this, had a bad experience.",35,165,Negative
983180,user4866,12/18/2024 5:09,"Could be better, but not too bad.",446,72,Neutral
581660,user1489,12/14/2024 19:39,I love this product! Highly recommend it.,296,32,Negative
550982,user3746,12/21/2024 4:27,"Could be better, but not too bad.",279,229,Positive
345681,user4381,12/17/2024 6:16,Wow! Blown away by how great this is.,46,174,Positive
490775,user2815,12/15/2024 22:46,"Could be better, but not too bad.",470,94,Negative
788963,user3966,12/21/2024 10:48,"Not a fan of this, had a bad experience.",36,264,Positive
698200,user2617,12/15/2024 13:45,"Could be better, but not too bad.",413,88,Positive
315682,user9346,12/16/2024 13:11,"Could be better, but not too bad.",159,74,Positive
403456,user1376,12/16/2024 18:01,I love this product! Highly recommend it.,452,123,Positive
538034,user9985,12/18/2024 1:03,This event was fantastic!,29,51,Negative
134597,user6041,12/17/2024 2:50,This event was fantastic!,98,216,Neutral
664683,user6308,12/21/2024 8:56,I love this product! Highly recommend it.,30,128,Positive
174323,user846,12/21/2024 8:33,"Disappointed, expected so much more.",447,175,Negative
789891,user6490,12/19/2024 3:13,Absolutely terrible. Would not suggest to anyone.,434,268,Neutral
418108,user727,12/16/2024 16:39,"Could be better, but not too bad.",326,280,Negative
176664,user7048,12/16/2024 16:43,"Just bought it, will update my thoughts later.",253,30,Negative
817965,user7815,12/15/2024 9:33,Why is no one talking about this? It's amazing.,487,167,Neutral
690565,user7779,12/18/2024 14:55,Wow! Blown away by how great this is.,20,86,Neutral
901743,user54,12/17/2024 7:46,"Disappointed, expected so much more.",71,263,Negative
385548,user63,12/17/2024 17:42,"Could be better, but not too bad.",486,181,Negative
583811,user4412,12/17/2024 7:56,This event was fantastic!,13,48,Positive
153916,user7744,12/15/2024 14:29,"Disappointed, expected so much more.",246,53,Neutral
710142,user1932,12/20/2024 20:02,"Meh. It's okay, nothing special.",293,21,Negative
456183,user2936,12/21/2024 6:06,"Disappointed, expected so much more.",414,218,Neutral
173635,user3616,12/14/2024 16:17,Why is no one talking about this? It's amazing.,147,19,Neutral
594382,user6460,12/16/2024 1:00,"Could be better, but not too bad.",59,227,Neutral
596562,user9521,12/16/2024 20:50,"Not a fan of this, had a bad experience.",438,149,Positive
693558,user3687,12/15/2024 13:38,I love this product! Highly recommend it.,301,48,Negative
275694,user8499,12/21/2024 5:13,"Just bought it, will update my thoughts later.",342,211,Neutral
291859,user6460,12/15/2024 20:14,"Could be better, but not too bad.",9,132,Positive
619180,user2665,12/19/2024 6:03,Why is no one talking about this? It's amazing.,135,227,Negative
170678,user6120,12/19/2024 9:20,This event was fantastic!,455,232,Positive
185557,user924,12/15/2024 14:56,Wow! Blown away by how great this is.,20,286,Positive
161813,user9430,12/19/2024 13:36,"Meh. It's okay, nothing special.",184,157,Negative
919838,user9016,12/19/2024 21:11,"Not a fan of this, had a bad experience.",155,297,Neutral
550958,user7899,12/19/2024 7:32,Absolutely terrible. Would not suggest to anyone.,477,175,Neutral
110077,user7763,12/16/2024 19:55,This event was fantastic!,321,188,Positive
538885,user2800,12/21/2024 8:40,"Not a fan of this, had a bad experience.",95,221,Negative
235923,user8463,12/16/2024 15:04,"Not a fan of this, had a bad experience.",4,71,Positive
490945,user4346,12/15/2024 22:44,This event was fantastic!,107,257,Positive
609319,user5023,12/19/2024 12:09,Wow! Blown away by how great this is.,425,213,Negative
547332,user7313,12/16/2024 2:39,"Disappointed, expected so much more.",154,292,Positive
779577,user3127,12/18/2024 20:55,Why is no one talking about this? It's amazing.,401,271,Negative
740285,user2311,12/20/2024 21:24,Absolutely terrible. Would not suggest to anyone.,439,64,Neutral
911944,user3147,12/19/2024 23:21,Wow! Blown away by how great this is.,22,227,Positive
318078,user5982,12/20/2024 14:28,Absolutely terrible. Would not suggest to anyone.,470,207,Positive
575392,user1201,12/18/2024 19:32,"Just bought it, will update my thoughts later.",389,291,Negative
681310,user9122,12/20/2024 13:09,I love this product! Highly recommend it.,168,126,Negative
255110,user8841,12/18/2024 15:54,"Meh. It's okay, nothing special.",295,166,Negative
528813,user1266,12/18/2024 3:01,"Not a fan of this, had a bad experience.",355,141,Positive
375519,user5438,12/18/2024 11:07,This event was fantastic!,236,46,Positive
478017,user2544,12/15/2024 7:27,"Meh. It's okay, nothing special.",60,179,Negative
627706,user6107,12/16/2024 23:39,Absolutely terrible. Would not suggest to anyone.,158,180,Neutral
980196,user1165,12/19/2024 2:00,"Could be better, but not too bad.",436,222,Negative
964136,user4389,12/15/2024 20:37,Why is no one talking about this? It's amazing.,30,14,Negative
111245,user235,12/19/2024 4:13,Wow! Blown away by how great this is.,194,146,Positive
652689,user6797,12/16/2024 19:09,Wow! Blown away by how great this is.,448,41,Negative
559186,user7364,12/16/2024 22:16,"Not a fan of this, had a bad experience.",97,56,Negative
669806,user9304,12/14/2024 23:49,"Meh. It's okay, nothing special.",206,225,Negative
474016,user7847,12/15/2024 18:56,"Could be better, but not too bad.",161,237,Negative
